,kuebel_eintrag_id,log_id,kuebel_art_id,sonstiges_h,reinigung_h,waschen_h,waschen_count,instandh_h,instandh_count,zerlegen_h,zerlegen_count,name,mitarbeiter_id,user_id_step2,tank_session_id,comments,created_at,username,tank_id,fahrzeug_id,amount_fuel,laufzeit,fahrzeug_name,bereich,kostenstelle,user_id_tank_fahrzeug,daten_eingabe_von,created_at_tank
0,1,2,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-09 08:08:12.339008+00:00,admin,,,,,,,,,,
1,2,2,2,0.0,0.5,0.25,0,0.0,0,0.0,0,240 L,2,1,,,2025-05-09 08:08:12.339008+00:00,admin,,,,,,,,,,
2,3,2,3,0.0,0.0,0.25,0,0.0,0,0.0,0,660 L,2,1,,,2025-05-09 08:08:12.339008+00:00,admin,,,,,,,,,,
3,4,2,5,0.0,0.0,0.5,1,0.0,0,0.0,0,1100 L,2,1,,,2025-05-09 08:08:12.339008+00:00,admin,,,,,,,,,,
4,5,3,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-09 08:12:15.273371+00:00,admin,,,,,,,,,,
5,6,3,2,0.0,0.0,0.0,3,0.0,0,0.0,0,240 L,3,1,,,2025-05-09 08:12:15.273371+00:00,admin,,,,,,,,,,
6,7,4,2,0.0,0.75,0.0,0,0.0,0,0.0,0,240 L,1,1,,,2025-05-09 08:13:08.160986+00:00,admin,,,,,,,,,,
7,8,4,3,0.0,0.0,0.0,3,0.0,0,0.0,0,660 L,1,1,,,2025-05-09 08:13:08.160986+00:00,admin,,,,,,,,,,
8,9,5,1,0.0,0.75,0.0,0,0.0,0,0.0,0,120 L,2,1,,,2025-05-09 08:17:11.775251+00:00,admin,,,,,,,,,,
9,10,5,2,0.0,0.0,0.0,2,0.0,0,0.0,0,240 L,2,1,,,2025-05-09 08:17:11.775251+00:00,admin,,,,,,,,,,
10,11,6,1,0.0,0.5,0.0,0,0.0,0,0.0,0,120 L,3,1,,,2025-05-09 08:18:22.398212+00:00,admin,,,,,,,,,,
11,12,7,1,0.0,0.25,0.0,0,0.0,0,0.0,0,120 L,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
12,13,7,2,0.0,0.25,0.0,0,0.0,0,0.0,0,240 L,1,1,,,2025-05-09 08:20:10.255742+00:00,admin,,,,,,,,,,
